latitude,longitude,pH
-76.5,163.5,8.085046042521192
-76.5,164.5,8.08038445099564
-76.5,165.5,8.08297314257375
-76.5,166.5,8.081408944669269
-76.5,167.5,8.07415071678424
-76.5,168.5,8.071258865145822
-76.5,169.5,8.071694875274932
-76.5,170.5,8.077339734558082
-76.5,171.5,8.077342813119214
-76.5,172.5,8.078368438286788
-76.5,173.5,8.082491204320496
-76.5,174.5,8.085725157264458
-76.5,175.5,8.092372216872857
-76.5,176.5,8.09137631726716
-76.5,177.5,8.069525538632938
-76.5,178.5,8.071027781962604
-76.5,179.5,8.068127357061611
-76.5,180.5,8.071592778678996
-76.5,181.5,8.07414029903815
-76.5,182.5,8.075603023611466
-76.5,183.5,8.068795125076475
-76.5,184.5,8.06652940023771
-76.5,185.5,8.066116555327298
-76.5,186.5,8.069895106196393
-76.5,187.5,8.072446774457157
-76.5,188.5,8.07079191863939
-76.5,189.5,8.079828042231348
-76.5,190.5,8.078237820999517
-76.5,191.5,8.084005506273924
-76.5,192.5,8.09129391471967
-76.5,193.5,8.091957576587129
-76.5,194.5,8.088733901981099
-76.5,195.5,8.088807691483064
-76.5,196.5,8.091258994162493
-76.5,197.5,8.091519900415067
-76.5,198.5,8.098871806540837
-76.5,199.5,8.100166059824447
-76.5,200.5,8.094827691548394
-76.5,201.5,8.087639840767006
-76.5,202.5,8.080247297184563
-76.5,203.5,8.085467992623446
-76.5,204.5,8.08420691816915
-76.5,205.5,8.08941985367994
-76.5,206.5,8.084084635671605
-76.5,207.5,8.077375753982626
-76.5,208.5,8.076839981051151
-76.5,307.5,8.064673072228736
-76.5,308.5,8.068016621196108
-76.5,309.5,8.068141399589644
-76.5,310.5,8.0477076236108
-76.5,311.5,8.048275200242548
-76.5,312.5,8.049517557897792
-76.5,313.5,8.049272373871155
-76.5,314.5,8.048306772684091
-76.5,315.5,8.045751190440853
-76.5,316.5,8.044506713008229
-76.5,317.5,8.045769237309536
-76.5,318.5,8.045922081919782
-76.5,319.5,8.045886906067954
-76.5,320.5,8.046249716575222
-76.5,321.5,8.046886845052144
-76.5,322.5,8.048062255276426
-76.5,323.5,8.048216166571951
-76.5,324.5,8.04946930126904
-76.5,325.5,8.051615165925003
-76.5,326.5,8.064783724827858
-76.5,327.5,8.060343974011696
-76.5,328.5,8.063345104880504
-76.5,329.5,8.071717680516212
-75.5,163.5,8.082937380761162
-75.5,164.5,8.074151116138422
-75.5,165.5,8.070578657085358
-75.5,166.5,8.076289558132016
-75.5,167.5,8.07738613143088
-75.5,168.5,8.076660119483565
-75.5,169.5,8.071133500295723
-75.5,170.5,8.066604356589414
-75.5,171.5,8.080549260971756
-75.5,172.5,8.084917989275471
-75.5,173.5,8.08157232323522
-75.5,174.5,8.080737079872566
-75.5,175.5,8.081680585317851
