latitude,longitude,pH
-76.5,163.5,8.136985739565592
-76.5,164.5,8.09207741536155
-76.5,165.5,8.085044033176619
-76.5,166.5,8.084023815670113
-76.5,167.5,8.07908119859505
-76.5,168.5,8.078115875041277
-76.5,169.5,8.068461034031785
-76.5,170.5,8.076302359033264
-76.5,171.5,8.08246803378747
-76.5,172.5,8.084821012821548
-76.5,173.5,8.09386959762673
-76.5,174.5,8.088432394642094
-76.5,175.5,8.088540808941847
-76.5,176.5,8.08835402286082
-76.5,177.5,8.088733635156151
-76.5,178.5,8.091203883063029
-76.5,179.5,8.087236965815578
-76.5,180.5,8.081753494207305
-76.5,181.5,8.08002751672148
-76.5,182.5,8.074123927359915
-76.5,183.5,8.077144807619943
-76.5,184.5,8.079449568552098
-76.5,185.5,8.074258778101012
-76.5,186.5,8.07585446467958
-76.5,187.5,8.081113754243798
-76.5,188.5,8.080479419262486
-76.5,189.5,8.077194588247176
-76.5,190.5,8.076273234283454
-76.5,191.5,8.07898569902583
-76.5,192.5,8.08569563414253
-76.5,193.5,8.085778236526396
-76.5,194.5,8.076159310639794
-76.5,195.5,8.077072249153465
-76.5,196.5,8.075884191049376
-76.5,197.5,8.073312389042647
-76.5,198.5,8.09224588311291
-76.5,199.5,8.086656794233175
-76.5,200.5,8.085345134062669
-76.5,201.5,8.080387600277325
-76.5,202.5,8.077734207542091
-76.5,203.5,8.092087792194121
-76.5,204.5,8.083673093072262
-76.5,205.5,8.078580913851
-76.5,206.5,8.078130286802175
-76.5,207.5,8.072503753177276
-76.5,208.5,8.076889128777724
-76.5,307.5,8.061303157465261
-76.5,308.5,8.06303792402328
-76.5,309.5,8.066824364578283
-76.5,310.5,8.050668344516742
-76.5,311.5,8.046815099693971
-76.5,312.5,8.047584374097516
-76.5,313.5,8.046718308719118
-76.5,314.5,8.046946171121569
-76.5,315.5,8.042535419131022
-76.5,316.5,8.042944893378793
-76.5,317.5,8.042421519797704
-76.5,318.5,8.043194251076123
-76.5,319.5,8.045581080192619
-76.5,320.5,8.045158804532909
-76.5,321.5,8.046267196179675
-76.5,322.5,8.0451222012071
-76.5,323.5,8.04488309620846
-76.5,324.5,8.04330110974315
-76.5,325.5,8.048010715484319
-76.5,326.5,8.050734705544881
-76.5,327.5,8.055809423209881
-76.5,328.5,8.060774429888214
-76.5,329.5,8.072000791809767
-75.5,163.5,8.088060111762076
-75.5,164.5,8.08661757335068
-75.5,165.5,8.086119168843647
-75.5,166.5,8.094505559124707
-75.5,167.5,8.089652828504395
-75.5,168.5,8.086304254295252
-75.5,169.5,8.076806064333041
-75.5,170.5,8.07198420564419
-75.5,171.5,8.072777211463075
-75.5,172.5,8.080126240385932
-75.5,173.5,8.07960604862029
-75.5,174.5,8.075506031213179
-75.5,175.5,8.07835915160562
-75.5,176.5,8.081351186834105
-75.5,177.5,8.074429368354968
-75.5,178.5,8.076350626978845
-75.5,179.5,8.080779914010117
-75.5,180.5,8.074914132117215
-75.5,181.5,8.071877372472999
-75.5,182.5,8.069071428019571
-75.5,183.5,8.066335247709825
-75.5,184.5,8.06306155192796
-75.5,185.5,8.061972262723158
-75.5,186.5,8.062725323108792
-75.5,187.5,8.066142343121973
-75.5,188.5,8.063846602569457
-75.5,189.5,8.064591193870056
-75.5,190.5,8.067101210835498
-75.5,191.5,8.064072088854305
-75.5,192.5,8.065722349948881
-75.5,193.5,8.077176585059195
-75.5,194.5,8.078284114567557
-75.5,195.5,8.077784539763107
-75.5,196.5,8.081559759225934
-75.5,197.5,8.081825071015116
-75.5,198.5,8.077955256497589
-75.5,199.5,8.081236914434928
-75.5,200.5,8.090288507666186
-75.5,201.5,8.086907911198873
-75.5,202.5,8.085075050274659
-75.5,203.5,8.07862422453936
